property_id,households,buildings,building_age,min_area,max_area,floor_area_ratio,sale_price_min,sale_price_max,jeonse_price_min,jeonse_price_max,price_per_pyeong,sale_transactions,jeonse_transactions,total_transactions,jeonse_ratio,gap,sale_price_range_ratio,price_deviation_ratio,transactions_per_household,has_sale_price,has_jeonse_price,has_transactions,abnormal_jeonse_low,abnormal_jeonse_high,abnormal_price_dev,low_gap_flag,no_transaction_flag,excessive_price_range,fraud_score,is_suspicious,risk_level
102379,10,1,19,71.89,152.26,239,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
124917,9,1,22,74.08,74.08,311,0,0,48000,48000,0,0,1,1,0.0,0,0.0,0.0,0.1111111111111111,0,1,1,0,0,0,0,0,0,0,0,0
101878,33,1,16,280.33,287.45,249,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3038,1292,4,23,112.71,403.76,919,339000,1200000,180000,600000,9943,196,34,291,53.1,159000,2.5398230088495577,0.6146157927056622,0.22523219814241485,1,1,1,0,0,1,1,0,1,15,1,2
105,2436,21,42,113.31,220.92,179,420000,750000,89500,210000,12253,170,191,492,21.3,330500,0.7857142857142857,0.9897301929017882,0.2019704433497537,1,1,1,1,0,1,1,0,0,18,1,2
3049,231,4,31,81.09,104.02,139,290000,350000,63000,86000,11822,13,12,34,21.7,227000,0.20689655172413793,0.9197413156357578,0.1471861471861472,1,1,1,1,0,1,1,0,0,18,1,2
13077,19,1,22,153.31,153.31,296,0,0,140000,140000,0,0,7,8,0.0,0,0.0,0.0,0.42105263157894735,0,1,1,0,0,0,0,0,0,0,0,0
11698,3002,34,19,86.43,225.29,274,290000,650000,96500,260000,11092,280,168,724,33.3,193500,1.2413793103448276,0.8011986696863327,0.24117255163224516,1,1,1,0,0,1,1,0,0,10,1,1
9218,414,1,21,112.2,332.64,996,200000,650000,154500,220000,5893,46,27,84,77.2,45500,2.25,-0.04305231153429873,0.2028985507246377,1,1,1,0,0,0,1,0,1,8,0,0
134062,6702,74,2,50.73,230.47,249,150000,1200000,65500,600000,9775,178,561,1499,43.7,84500,7.0,0.5873347454186713,0.22366457773798867,1,1,1,0,0,1,1,0,1,15,1,2
1327,198,5,39,105.86,193.76,147,399000,440000,90000,180000,12460,42,8,62,22.6,309000,0.10275689223057644,1.0233443404518305,0.31313131313131315,1,1,1,1,0,1,1,0,0,18,1,2
8331,232,1,26,50.9,55.31,990,41000,65000,31000,50000,2663,30,16,52,75.6,10000,0.5853658536585366,-0.5675629230639466,0.22413793103448276,1,1,1,0,0,1,1,0,0,10,1,1
102377,15,1,19,65.21,156.31,242,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
